Subgroup,Variable, ,No Early Puberty,Early Puberty,OR (univariable),OR (multivariable)
Boys (Male),Probiotic intake,Neverusers,5066 (94.5),296 (5.5),-,-
Boys (Male),Probiotic intake,Everusers,4894 (94.1),305 (5.9),"1.07 (0.90-1.26, p=0.443)","1.04 (0.85-1.28, p=0.693)"
Girls (Female),Probiotic intake,Neverusers,4685 (94.6),269 (5.4),-,-
Girls (Female),Probiotic intake,Everusers,4390 (94.4),262 (5.6),"1.04 (0.87-1.24, p=0.665)","1.03 (0.83-1.28, p=0.773)"
